Id,Designator,Package,Quantity,Designation,Supplier and ref,,Link
3,"Conn2,Conn1",Anderson_2_Vertical_Sidy_by_Side,2,AndersonPP,,,
4,"C3,C2,C1",CP_Radial_D16.0mm_P7.50mm,3,680uF,,,https://www.newark.com/panasonic/eeu-fs1j681s/cap-680uf-63v-alu-elec-radial/dp/72AC4706
